  Temperature (K)            <q^2>, 10^4 : 3·10^4      <E>/N, 10^4 : 3·10^4      <q^2>, 3·10^4 : 10^5      <E>/N, 3·10^4 : 10^5      <q^2>, 10^5 : 3·10^5      <E>/N, 10^5 : 3·10^5      <q^2>, 3·10^5 : 10^6      <E>/N, 3·10^5 : 10^6
  0.28101761252446184        9.6449599615756657E-009   1.4681468442220172E-003   1.1260745980377708E-008   1.5055549299577251E-003   1.0497146286070346E-008   1.5149382861563937E-003   1.1091068985738925E-008   1.5170071760234091E-003
  0.28454011741682977        9.9016729088826872E-009   1.4806737163234902E-003   9.7575165065271517E-009   1.5261730322714097E-003   1.0370250674895942E-008   1.5164658296853305E-003   1.1208106297999620E-008   1.5154212233793390E-003
  0.28806262230919766        1.0121616998921032E-008   1.5172692353668242E-003   1.0485453198530844E-008   1.4925910250583132E-003   1.0279275011271238E-008   1.5126978890039027E-003   1.1231087514066270E-008   1.5151782703536031E-003
  0.29158512720156560        9.9323039268446464E-009   1.4929901968491362E-003   1.0177983702825649E-008   1.5073906689898910E-003   1.1338834883645177E-008   1.5210973813955205E-003   1.0575301712378859E-008   1.5115661950016927E-003
  0.29510763209393348        1.2697385989877953E-008   1.4917543840078896E-003   9.5848393227372854E-009   1.5067558482488883E-003   1.0970156290568411E-008   1.5144006625516339E-003   1.0630440998024175E-008   1.5066208167916297E-003
  0.29863013698630136        1.1805886647541602E-008   1.4990512699378409E-003   1.0828346213591950E-008   1.5014734982479630E-003   1.0024543735198676E-008   1.5088661310321185E-003   1.0684431929673467E-008   1.5108238167811318E-003
  0.30215264187866930        1.1021697680572460E-008   1.5190347571504012E-003   1.0755885991134813E-008   1.5024021005790149E-003   1.2361069093458354E-008   1.4998479771078563E-003   1.1065523306440029E-008   1.5050768023755934E-003
  0.30567514677103719        9.0422008702273614E-009   1.5452518604341140E-003   1.0782927607319185E-008   1.5017593087063039E-003   1.0844515054486693E-008   1.5039449892530682E-003   1.0816214905519571E-008   1.5086602460085746E-003
  0.30919765166340513        1.3539462635616610E-008   1.5273718309981087E-003   9.1428685534213264E-009   1.4900243496189691E-003   1.1588292545638979E-008   1.4980099703912856E-003   1.1132938587771994E-008   1.5057055957873153E-003
  0.31272015655577301        1.0133049088245866E-008   1.4771008053035854E-003   1.0512361768633127E-008   1.5157111264831786E-003   1.0131232556886970E-008   1.5097238363843645E-003   1.1218033198799406E-008   1.5118956529161160E-003
  0.31624266144814089        8.6010618508606775E-009   1.4286964314001640E-003   1.0748044587671757E-008   1.5015978938234704E-003   1.0806566569954156E-008   1.5048887394892517E-003   1.0870293980198248E-008   1.5012608788233983E-003
